,지점명,판매물품
684,차병원사거리,스타벅스 돌체 라떼
685,차병원사거리,에스프레소
686,차병원사거리,자바 칩 프라푸치노
687,차병원사거리,망고 바나나 블렌디드
688,차병원사거리,잉글리쉬 브렉퍼스트 티
689,차병원사거리,허니 얼 그레이 밀크 티
690,역삼럭키,콜드 브루
691,역삼럭키,오늘의 커피
692,역삼럭키,카페 아메리카노
693,역삼럭키,카라멜 마키아또
694,역삼럭키,스타벅스 돌체 라떼
695,역삼럭키,에스프레소
696,역삼럭키,자바 칩 프라푸치노
697,역삼럭키,망고 바나나 블렌디드
698,역삼럭키,잉글리쉬 브렉퍼스트 티
699,역삼럭키,허니 얼 그레이 밀크 티
700,코엑스사거리,콜드 브루
701,코엑스사거리,오늘의 커피
702,코엑스사거리,카페 아메리카노
703,코엑스사거리,카라멜 마키아또
704,코엑스사거리,스타벅스 돌체 라떼
705,코엑스사거리,에스프레소
706,코엑스사거리,자바 칩 프라푸치노
707,코엑스사거리,망고 바나나 블렌디드
708,코엑스사거리,잉글리쉬 브렉퍼스트 티
709,코엑스사거리,허니 얼 그레이 밀크 티
710,수서,콜드 브루
711,수서,오늘의 커피
712,수서,카페 아메리카노
713,수서,카라멜 마키아또
714,수서,스타벅스 돌체 라떼
715,수서,에스프레소
716,수서,자바 칩 프라푸치노
717,수서,망고 바나나 블렌디드
718,수서,잉글리쉬 브렉퍼스트 티
719,수서,허니 얼 그레이 밀크 티
720,선릉역,콜드 브루
721,선릉역,오늘의 커피
722,선릉역,카페 아메리카노
723,선릉역,카라멜 마키아또
724,선릉역,스타벅스 돌체 라떼
725,선릉역,에스프레소
726,선릉역,자바 칩 프라푸치노
727,선릉역,망고 바나나 블렌디드
728,선릉역,잉글리쉬 브렉퍼스트 티
729,선릉역,허니 얼 그레이 밀크 티
730,압구정미소,콜드 브루
731,압구정미소,오늘의 커피
732,압구정미소,카페 아메리카노
733,압구정미소,카라멜 마키아또
