,상품명,가격,상위카테고리,하위카테고리
300,가정배달) 슈퍼밀크(180mL) (1개월 음용권),"21,000",우유,흰우유
301,가정배달 건국 고칼슘 우유 아카데미 플러스 180ml (주5회/4주),"23,000",우유,흰우유
302,서강 무농약 라이스밀크 쌀우유 1L 5개세트,"15,600",우유,흰우유
303,아인슈타인 플러스 우유 24팩,"16,000",우유,흰우유
304,남양 맛있는우유 GT 고소한 저지방 멸균 180ml 24팩,"17,000",우유,흰우유
305,[매일우유 가정배달] 상하목장우유 저지방 750ML 1개월 12회(주3회-월/수/금),"55,800",우유,흰우유
306,[매일우유 가정배달] 상하목장 유기농 드링킹요거트 180ML 1개월 20회(주5회-월~금),"40,000",우유,흰우유
307,[S]매일 멸균우유 저지방 2% 200ml 48팩,"29,900",우유,흰우유
308,남양 맛있는우유 GT 멸균우유 180ml 24팩,"16,530",우유,흰우유
309,가정배달 건국 유산균 우유 180ml (주5회/4주),"25,000",우유,흰우유
310,[매일우유 가정배달] 위편한 구트 150ML 1개월 20회(주5회-월~금),"28,000",우유,흰우유
311,[매일우유 가정배달] 상하목장 유기농 드링킹요거트 750ML 3개월 24회(주2회-월/수),"146,400",우유,흰우유
312,[연세] 연세 멸균 흰우유 190ML 48팩,"27,900",우유,흰우유
313,가정배달 건국 강원 청정목장 유기농우유 200ml (주5회/4주),"35,000",우유,흰우유
314,무항생제 인증 바른목장 프리바이오틱스 우유 125ml 24팩,"20,900",우유,흰우유
315,가정배달) 아인슈타인(185mL) (1개월 음용권),"21,000",우유,흰우유
316,가정배달)깔끔한 저지방(185mL) (1개월 음용권),"21,000",우유,흰우유
317,가정배달) 아침의선물 450㎖ (1개월 음용권),"22,200",우유,흰우유
318,가정배달) 아침의선물 930㎖ (1개월 음용권),"23,600",우유,흰우유
319,가정배달 건국 헬스플러스 저지방＆칼슘 180ml (주5회/4주),"24,000",우유,흰우유
320,가정배달) 깔끔한 저지방 900㎖ (1개월 음용권),"25,200",우유,흰우유
321,가정배달 건국 헬스플러스 저지방＆칼슘 450ml (주4회/4주),"35,200",우유,흰우유
322,패밀리 멸균우유 1000ml 1박스 12개,"25,800",우유,흰우유
323,옳은우유 120ml 48팩,"38,600",우유,흰우유
324,남양 DHA 유기농 옳은우유 180ml 48팩,"40,800",우유,흰우유
325,가정배달 건국 비타민우유 골드 450ml (주4회/4주),"31,200",우유,흰우유
326,가정배달 건국 THE 밀크 750ml (주3회/4주),"46,800",우유,흰우유
327,[매일] 상하목장 유기농 바나나우유 125ml 48팩,"43,900",우유,흰우유
