,제품id,제품명,가격,대분류,중분류,소분류,브랜드
107,998990999997997998,[스파클 빈병 회수] 스파클 생수 2리터×24병 (6병×4팩)+330ml×24병,"18,410",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
108,997990995994998999,[스파클 빈통 회수] 스파클 생수 말통 (대용량 18.9L)×1통 외 택1,"6,500",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
109,990995993998996998,[스파클 빈병 회수] 스파클 생수 2리터×6병(4팩) - 총24병,"13,320",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
110,993994994995993997, 스파클링 워터 탄산수 350ml×20병,"11,900",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
111,992998995994997991, 스파클링 워터 탄산수 350ml×20병,"11,900",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
112,996992995993999992,[스파클 빈통 회수] 스파클 생수 말통 (대용량 18.9L)×3통,"16,350",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
113,990993999996994990,[스파클 빈통 회수] 스파클 생수 말통 (대용량 18.9L)×3통,"16,350",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
114,992995998992995991,[스파클 빈병 회수] 스파클 생수 500ml×20병×4팩 (총80병),"17,590",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
115,990991992995992997,[스파클 빈병 회수] 스파클 생수 500ml×20병×4팩 (총80병),"17,590",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
116,997999994990991994,[스파클 빈병 회수] 스파클 생수 330ml×24병×4팩 (총96병),"19,150",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
117,997990995994990998,[스파클 빈병 회수] 스파클 생수 2리터×24병 (6병×4팩)+500ml×20병,"18,210",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
118,991992994990995999,[스파클 빈병 회수] 스파클 생수 330ml×24병×5팩 (총120병),"23,320",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
119,999990997998996997,[스파클 빈병 회수] 스파클 생수 2리터×24병 (6병×4팩)+330ml×24병,"18,410",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
120,992991998990996999, 스파클링 워터 탄산수 350ml×60병 (20병×3팩),"30,900",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
121,992999996990990999,[스파클 빈병 회수] 스파클 생수 330ml×24병×10팩 (총240병),"41,730",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
122,995996998992994993,[스파클 빈병 회수] 스파클 생수 330ml×24병×8팩 (총192병),"35,350",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
123,990992992991997991,[스파클 빈병 회수] 스파클 생수 2리터×6병(12팩) - 총72병,"36,520",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
124,994997998991994995,[스파클 빈통 회수] 스파클 생수 말통 (대용량 18.9L)×4통,"21,600",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
125,999995997991992992,[스파클 빈병 회수][대리점배송] 스파클 생수 500ml×20병×12팩 (총240병),"48,720",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
126,996996990993995995, 스파클링 워터 탄산수 350ml×40병 (20병×2팩),"20,900",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
127,991992995999991992, 스파클링 워터 탄산수 350ml×60병 (20병×3팩),"30,900",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
128,991997995998991995,[스파클로 더위극복] 스파클 생수 2L/500ml/330ml/탄산수 베스트 모음전,"7,200",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
129,996993991993996990,[스파클 빈병회수][어디서든 간편하게] 스파클 생수 500ml/330ml/탄산수 소용량 생수 모음전,"9,820",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
130,998997995990991993,[스파클 빈병회수][한번에 문앞까지 편하게!] 스파클 생수 2리터 외 실속 조합구성 모음전,"12,280",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
131,995993990991998992,[스파클 빈병회수][한번에 문앞까지 편하게!] 스파클 생수 2리터 외 실속 조합구성 모음전,"12,280",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
132,997990992992995993,[스파클 빈병회수][스파클로 수분충전] 스파클 생수 2L/500ml/330ml 베스트 모음,"13,320",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
133,996993997997999996,[스파클 빈병회수][어디서든 간편하게] 스파클 생수 330ml/500ml/탄산수 소용량 생수 모음전,"14,730",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
134,990994992990996990,[스파클 빈병회수][생수알뜰모음] 수량은 UP 가격 DOWN 2리터 36병 외 대용량 생수 알뜰하게 한번에 문앞까지,"17,960",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
135,996996997991997993,[스파클 빈병회수][생수알뜰모음] 수량은 UP 가격 DOWN 2리터 36병 외 대용량 생수 알뜰하게 한번에 문앞까지,"18,360",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
136,994999996993992997,제주 삼다수(500mlx20펫) /생수,"12,500",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
137,998999997995999990,제주 삼다수(2Lx6펫) /생수,"9,500",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
138,996990995993995993,[evian] 에비앙 천연광천수 1L,"1,980",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
139,997997995999998995,(뉴디자인) 에비앙 Evian 1X12(PET),"26,700",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
140,994993990995997994,(뉴디자인) 에비앙 Evian 330mlX24(PET),"24,700",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
141,997992999992999997,글라스 Evian 750mlX12(Glass),"48,000",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
142,995994991996997998,(뉴디자인) 에비앙 Evian 500mlX24(PET),"28,000",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
143,999998994997991999,글라스 Evian 330mlX20(Glass),"42,000",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
